Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
approximated_00014.owl_functional.owl,20357227,150743,20507970,1596,1072,208,317,0,39,ALCRO,524,637,0,0,300,0,320,0,0,0,0,0,14,0,0,0,0,0,49,52,0,0,0,0,0,0,0,0,101,637,334
9b10aa7f-5d37-4a23-9dc8-c0e74b59d728_Film.owl_functional.owl,15617740,88307,15706047,1141,757,180,204,0,119,ALH,384,0,0,0,0,0,179,0,0,0,179,179,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,220,358,179
c4522b4a-8b40-45cd-a28e-130ae6f77616_loggerhead.obo_functional.owl,6392926,42682,6435608,658,347,308,3,0,0,ALE,311,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0
266078d7-4ebe-482d-98a2-090b4d640520_EbGdrcN5Y29ycA_functional.owl,5327260,38502,5365762,329,210,116,4,0,95,ALO,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,0,0,0,2,0,0,0,0,98,112,0
e24d6190-e9dd-4ffe-bb50-e13016b382d9_Company.owl_functional.owl,7520838,41120,7561958,283,164,54,65,0,9,ALH,119,0,0,0,0,0,53,0,0,0,53,53,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,106,53
approximated_74d155eb-2fac-447f-bc9d-a9a75b00a009_cery_store.ttl_functional.owl,6524817,51225,6576042,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_bspo.spatial-ontology.20.owl.xml_functional.owl,6637196,48621,6685817,438,270,135,33,0,0,ALER,168,252,0,0,1,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,18
approximated_23fee2e3-9ffc-4fce-86fd-342eeba74013_John_Dory.rdf_functional.owl,4459524,41795,4501319,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_9833b76c-da15-4524-83af-85574d900520_u_dressing.rdf_functional.owl,4492489,42172,4534661,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_d5526c43-5838-4a9c-af57-b8f625e26237_Leerdammer.ttl_functional.owl,4509941,43767,4553708,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_cd8a38f3-171c-45fa-b461-fb3ce121cfb6_software.owl_functional.owl,3897892,42575,3940467,178,106,41,32,0,23,ALEH,72,70,0,0,24,0,13,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,70,13
approximated_kb-owl-syntax-unraveled-depth-3-km-relevant-cardinalities-triggers-relation-axioms.ofn_functional.owl,185792963,880346,186673309,22948,16495,6162,292,0,0,ALER,6453,16473,0,0,219,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16473,22
approximated_70aeb10e-eece-43b2-8b09-2f9ea45c1cfe___Koch_G36.ttl_functional.owl,5646371,51530,5697901,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_75d9fe1b-71db-4e70-a109-bd304b2321a7_VRAM.ttl_functional.owl,5701141,42967,5744108,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_8f89a31c-fe5f-46b1-9b07-d9dc72b50e03_pban.owl_functional.owl,7622468,54475,7676943,572,500,56,17,0,156,AL,72,74,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,303,123,0,0,0,0,0,0,0,0,426,74,0
approximated_8fca389d-d850-405f-b461-c6ce2ab6feb7_premises663.rdf_functional.owl,7575715,49159,7624874,292,190,98,5,0,3,ALE,102,180,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,10,180,0
approximated_01e61578-858f-498c-9aba-2401be843c1b_nry_trowel.ttl_functional.owl,4598776,55012,4653788,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_35a36bb9-c479-4063-a445-a9a4c676755c_Azorubine.ttl_functional.owl,6764294,57439,6821733,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_24faf36b-9a27-4f92-b4c1-770320f7d109_Gummi_candy.ttl_functional.owl,6228084,57871,6285955,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_1b9bc6c9-d156-4a1c-a821-014fcf3ae7c5_20090907.rdf_functional.owl,9380345,48222,9428567,664,373,96,196,0,28,ALCRO,291,236,0,0,131,0,102,0,0,0,0,0,5,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,30,236,107
approximated_kb-owl-syntax-unraveled-depth-4-triggers.ofn_functional.owl,152500095,729825,153229920,21476,15214,6107,155,0,0,ALE,6262,15214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15214,0
approximated_ep.cardiac-electrophysiology-ontology.2.owl.xml_functional.owl,1215880030,5647125,1221527155,205522,124382,81110,32,0,12,ALER,81140,124359,0,0,77,0,7,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,124359,11
approximated_f345c79b-a278-41a6-b109-44ba64739788_PaulFisher.rdf_functional.owl,4334433,32599,4367032,222,153,39,31,0,83,AL,69,51,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,51,0
74315bf7-bb8f-4a98-95d2-f260450b6ee9_lCharacter.owl_functional.owl,5815820,42149,5857969,359,301,25,33,0,108,ALEH,58,22,0,0,0,0,24,0,0,0,24,24,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,207,70,24
approximated_dd922e1f-73f2-43fb-9a84-6664f9c4d6d3_temetazoan.owl_functional.owl,746102849,4091089,750193938,126365,93576,32584,208,0,39,ALER,32789,93305,0,0,11,0,155,0,0,0,0,0,77,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39,93305,232
approximated_cfe00e32-c9b8-404c-9f5a-07b042d046c9_codtools_02.owl_functional.owl,23645624,74378,23720002,325,205,62,59,0,25,ALCRO,120,152,0,0,57,0,12,0,0,0,0,0,4,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,37,152,16
approximated_4a243936-cf39-4269-b053-24e2e8820fb0_Gyrodyne.rdf_functional.owl,17581914,52895,17634809,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_dfc18503-60bd-4cf0-8e46-46da849392d3_Grounding.owl_functional.owl,14030150,44519,14074669,368,193,60,116,0,8,ALR,175,154,0,0,100,0,30,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,154,31
approximated_a3f0aaeb-b9cc-4337-882c-cb968126a9f2_higgins.owl_functional.owl,16591547,34499,16626046,244,146,45,54,0,0,ALH,98,99,0,0,58,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,47
approximated_1c3bac4f-4f4e-4518-bc86-0377d3dc6c32_Wahoo.rdf_functional.owl,12510048,30695,12540743,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
92a9f2e8-3e78-4470-ba97-727b01ed6b3a_Station.owl_functional.owl,19038948,35379,19074327,609,355,116,138,0,12,ALH,254,0,0,0,0,0,115,0,0,0,115,115,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,230,115
approximated_3d18c527-3dc1-4a8e-a715-b5e912ff6c48_calisation.owl_functional.owl,13158004,31398,13189402,201,103,43,56,0,18,AL,98,81,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,81,0
approximated_a8009033-f351-4981-aef6-bbf8c91567ab_odData.owl_functional.owl,11502983,33304,11536287,343,182,111,51,0,2,ALER,161,156,0,0,36,0,13,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,156,22
approximated_4a6e0711-cac1-4153-82f9-1a729636c163_CPR.owl_functional.owl,22798504,44590,22843094,1556,908,520,130,0,0,ALER,648,742,0,0,41,0,134,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,166
wb-phenotype.c-elegans-phenotype-vocabulary.195.owl.xml_functional.owl,32709876,80760,32790636,4647,2487,2159,1,0,0,AL+,2160,2486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,1
approximated_45c105f1-be30-4d21-acaa-545093e8a3c2_COSMOr603.owl_functional.owl,151108002,726462,151834464,13992,9841,3799,354,0,2353,ALCRO,4151,6861,0,0,341,0,115,0,0,0,0,0,12,0,0,0,0,0,2244,609,0,0,0,0,0,0,0,0,2853,6861,127
approximated_59c23576-3905-4768-807c-e42953a49469_PA8000.ttl_functional.owl,15547772,51386,15599158,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_2bef0cf8-78c8-4930-8f10-3cd63f3ced94_unitcomplex_functional.owl,21347812,56246,21404058,537,334,145,59,0,0,ALER,203,267,0,0,51,0,55,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,67
approximated_c111b583-ea49-41d1-8301-7bf4cd420885_ebbp2.0.3.owl_functional.owl,21793304,53166,21846470,480,229,241,10,0,0,ALH,251,220,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,9
59c2a3d4-020a-4a2a-8b2f-a9a9c096e102_HP.obo_functional.owl,125025805,391367,125417172,22751,13000,9751,0,0,0,AL,9751,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0
c6fe1d07-3a65-44b7-bb6e-5be86e59feaa_pr_import.owl_functional.owl,15204102,36405,15240507,651,325,326,0,0,0,AL,326,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0
approximated_312ead57-98a6-4831-9cfc-efc961e02d26_74181.rdf_functional.owl,13988368,37951,14026319,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_kb-owl-syntax-unraveled-depth-2-triggers.ofn_functional.owl,212613844,759302,213373146,23833,17554,6107,172,0,0,ALE,6279,17554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17554,0
96fca1bc-6cbd-4edf-9155-62885ac3321c_icsCreator.owl_functional.owl,18255945,40195,18296140,574,332,111,131,0,4,ALH,242,0,0,0,0,0,110,0,0,0,110,110,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,220,110
approximated_7508fb18-a372-461b-861f-3e1d236f466c_qudt_functional.owl,11750900,33724,11784624,492,262,189,42,0,36,ALR,230,191,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,47,191,24
approximated_00708.owl_functional.owl,85937748,204100,86141848,8137,7900,219,19,0,1911,ALER,237,219,0,0,73,0,1,0,0,0,0,0,3,0,0,0,0,0,4121,3556,0,0,0,0,0,0,0,0,7677,219,4
approximated_839b2cf5-ecb9-4418-85c6-4427ff7aebd2_matrIon.owl_functional.owl,72072574,236409,72308983,9458,5992,2995,473,0,1152,ALCRO,3466,3899,0,0,134,0,405,0,0,0,0,0,8,0,0,0,0,0,1208,186,0,0,0,208,78,0,0,0,1680,3899,413
approximated_1cdf362c-2ae8-4727-b5e9-576130834e04_OBI.obo_functional.owl,334367029,1373807,335740836,30442,26859,3520,64,0,0,ALER,3583,26816,0,0,22263,0,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26816,43
approximated_c2be6154-32e2-4603-829f-7d5b1d11b934_d0.owl_functional.owl,11304291,35120,11339411,536,347,80,110,0,0,ALER,189,230,0,0,103,0,110,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,117
approximated_00535.owl_functional.owl,114789747,419771,115209518,17492,11610,5877,5,0,0,ALE,5882,11610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610,0
approximated_8d26f9a2-ef79-4a31-becf-0e57b2393271_undbericht.owl_functional.owl,13373937,41661,13415598,552,327,151,75,0,48,ALER,225,171,0,0,11,0,73,0,0,0,0,0,5,0,0,0,0,0,48,30,0,0,0,0,0,0,0,0,78,171,78
approximated_3f2b94bf-d53a-4daf-946d-6c59da721e7c_Cola.rdf_functional.owl,10071336,42503,10113839,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_702b8efb-32b2-4a87-8350-415581a69a16_Resistor.rdf_functional.owl,11354803,65094,11419897,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_22b3b685-bd5e-47cd-a249-4830d6cf08c6_Fish_hook.rdf_functional.owl,20553295,81650,20634945,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_c9cbf95b-a86d-41c2-85f9-8d759de6c1d9_sion.zfish.obo_functional.owl,115472625,466991,115939616,14132,11204,2918,11,0,0,ALER,2928,11199,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11199,5
06c9f57b-624c-4e3a-9610-48d68898db4c_HAO.obo_functional.owl,51028713,135307,51164020,5494,3659,1832,3,0,0,SR,1835,3654,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3655,4
approximated_6d30d82d-ccfe-4993-b40a-958aa17be6f9_MSKB_ver1.owl_functional.owl,21035090,40029,21075119,598,300,196,103,0,2,ALH,298,200,0,0,5,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,200,97
approximated_1f1074d7-d9d4-4a6b-8977-0a77b95392f8_interfaces.owl_functional.owl,17619661,27911,17647572,260,158,56,47,0,10,ALCRO,102,132,0,0,45,0,12,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,132,16
approximated_tao.teleost-anatomy-ontology.135.owl.xml_functional.owl,59853390,236723,60090113,8412,5166,3227,19,0,0,ALER,3246,5156,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156,10
approximated_77e55a95-d069-4da2-b261-57e89fcb896a_rTransport.owl_functional.owl,60888958,220960,61109918,8214,4721,3315,180,0,159,ALCRO,3493,4236,0,0,126,0,131,0,0,0,0,0,7,0,0,0,0,0,164,179,0,0,0,4,0,0,0,0,347,4236,138
f24457ab-cea2-4017-b9f0-e77f9f1f4f39_notype_xp.owl2_functional.owl,138634065,183451,138817516,8901,3790,5100,11,0,0,ALER,5111,75,3712,0,0,75,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3787,3
approximated_052b7c55-4d02-4d5d-99f4-48676cb191e0_FYPO_functional.owl,54387903,262432,54650335,5823,4132,1672,19,0,0,ALER,1691,4123,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123,9
approximated_5249685c-71db-4f8b-8746-00fe11948fa4_Mandoca.rdf_functional.owl,15127548,33021,15160569,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_4e9382c4-e9aa-4494-96b1-14892f8a5695_Flail.ttl_functional.owl,16520387,29253,16549640,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_6b6bbd7f-64af-446f-b47d-a11f97c191c3_Tilapia.ttl_functional.owl,14440952,35342,14476294,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_4c0f61da-db43-40be-aea5-096d0e25cf87_eral_water.rdf_functional.owl,13764381,26206,13790587,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_ddd751bd-f933-42b7-865d-e9aa08c3408b_ncertainty.owl_functional.owl,18360173,42069,18402242,1613,980,567,67,0,103,ALCRO,633,702,0,0,32,0,32,0,0,0,0,0,7,0,0,0,0,0,103,134,0,0,0,2,0,0,0,0,239,702,39
approximated_00627.owl_functional.owl,37313300,77690,37390990,4965,2804,2138,24,0,3,ALER,2161,2785,0,0,5,0,9,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2785,16
approximated_00f0d5f6-395b-4d82-97bd-75062b17681a_odore_CDTV.ttl_functional.owl,16602046,28661,16630707,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_52d591c9-b4fc-4f87-99c4-8b81323a910f_Sun_valve.ttl_functional.owl,16009999,35529,16045528,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_00039.owl_functional.owl,60677790,201525,60879315,9597,6098,3086,413,0,0,ALER,3499,5656,0,0,0,0,416,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5656,442
approximated_48bdccca-5b0c-48b6-b156-5f88a9662b1c_envirImpact.owl_functional.owl,42664966,96216,42761182,5761,3381,2208,174,0,152,ALCRO,2380,2905,0,0,112,0,129,0,0,0,0,0,7,0,0,0,0,0,157,181,0,0,0,2,0,0,0,0,340,2905,136
approximated_6fce96ad-8afd-44a8-8828-258cac75fc7b_risdiction.owl_functional.owl,19017848,42422,19060270,1137,714,377,47,0,103,ALCRO,423,447,0,0,23,0,21,0,0,0,0,0,7,0,0,0,0,0,103,134,0,0,0,2,0,0,0,0,239,447,28
approximated_09b555c1-a7a1-4cc9-b9de-b53288f8fd91_onto.rdf_functional.owl,12804570,27913,12832483,267,167,44,57,0,55,ALH,100,102,0,0,55,0,10,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,55,102,10
approximated_531c2d22-624b-47ae-8947-357b8894cb23_MF.owl_functional.owl,16079292,42549,16121841,1700,922,695,84,0,18,ALCRO,778,816,0,0,52,0,61,0,0,0,0,0,25,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,20,816,86
approximated_821570a0-d208-4173-a2f9-a885caabf71c_plusassocs.obo_functional.owl,6942788477,22199136,6964987613,765084,616106,148882,97,0,0,ALER,148978,616021,0,0,5,0,64,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616021,85
0b269d8d-1c50-45ce-ae4b-60a46714d203_classified.obo_functional.owl,252475279,735040,253210319,22875,17247,5620,8,0,0,ALE+,5628,17243,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17243,4
approximated_617ed6c6-5075-429e-aa0d-8f510bb901d7_Pentium_III.ttl_functional.owl,11756722,29211,11785933,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_904615b5-96da-4a92-9a63-41b2f042c337_stermerged.owl_functional.owl,958029900,4544466,962574366,108473,103463,4897,116,0,58273,ALCRO,5010,2534,0,0,32,0,75,0,0,0,0,0,55,0,0,0,0,0,32918,37222,0,0,0,30657,2,0,0,0,100799,2534,130
approximated_462bdf6b-f7ad-4c73-8244-024769021458_vertebrate.obo_functional.owl,656073688,3097992,659171680,90883,72585,18069,229,0,0,ALER,18298,72435,0,0,0,0,114,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72435,150
approximated_0a139bbb-6261-4262-b62c-c0d3733f5508_Drill_bit.ttl_functional.owl,12417510,29839,12447349,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_ca495d9f-6fd0-455d-be1b-17538744f700_dinterests.owl_functional.owl,8697630,25526,8723156,461,261,63,138,0,51,ALCRO,200,161,0,0,119,0,39,0,0,0,0,0,2,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,59,161,41
approximated_122239cd-6801-417a-81e4-5bb1fe1f464c_ZX80.ttl_functional.owl,11427378,26575,11453953,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_kb-owl-syntax-coreference-IDs-km-relevant-cardinalities-disjointness-relation-axioms.ofn_functional.owl,382028675,1574929,383603604,66057,38562,27218,279,0,0,ALER,27495,38540,0,0,8157,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38540,22
approximated_2968831e-1053-42e1-9bcc-b6da3f94d6f9_uowithpato.owl_functional.owl,35078620,87593,35166213,5045,3017,2012,18,0,212,ALER,2028,2798,0,0,70,0,4,0,0,0,0,0,3,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,212,2798,7
approximated_c2d3e8f6-066c-4850-9cd3-befc930596a1_opentox.owl_functional.owl,9057641,56123,9113764,224,125,24,76,0,0,ALR,99,95,0,0,73,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,30
approximated_1d340b73-57f7-4f92-9367-7f131dd2e647_htning_rod.rdf_functional.owl,10146106,61022,10207128,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
