Ontology,OntologyLoadingTime_ns,MetricMeasuringTime_ns,TotalTime_ns,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
approximated_70aeb10e-eece-43b2-8b09-2f9ea45c1cfe___Koch_G36.ttl_functional.owl,14774428,41389,14815817,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_75d9fe1b-71db-4e70-a109-bd304b2321a7_VRAM.ttl_functional.owl,14783133,42360,14825493,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_8f89a31c-fe5f-46b1-9b07-d9dc72b50e03_pban.owl_functional.owl,20569049,76636,20645685,572,500,56,17,0,156,AL,72,74,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,303,123,0,0,0,0,0,0,0,0,426,74,0
approximated_8fca389d-d850-405f-b461-c6ce2ab6feb7_premises663.rdf_functional.owl,17560500,42509,17603009,292,190,98,5,0,3,ALE,102,180,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,10,180,0
approximated_01e61578-858f-498c-9aba-2401be843c1b_nry_trowel.ttl_functional.owl,9865199,41013,9906212,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_35a36bb9-c479-4063-a445-a9a4c676755c_Azorubine.ttl_functional.owl,11286441,37542,11323983,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_24faf36b-9a27-4f92-b4c1-770320f7d109_Gummi_candy.ttl_functional.owl,10475928,39112,10515040,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_1b9bc6c9-d156-4a1c-a821-014fcf3ae7c5_20090907.rdf_functional.owl,19949930,43588,19993518,664,373,96,196,0,28,ALCRO,291,236,0,0,131,0,102,0,0,0,0,0,5,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,30,236,107
approximated_kb-owl-syntax-unraveled-depth-4-triggers.ofn_functional.owl,161007559,786963,161794522,21476,15214,6107,155,0,0,ALE,6262,15214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15214,0
approximated_ep.cardiac-electrophysiology-ontology.2.owl.xml_functional.owl,1153561807,5637485,1159199292,205522,124382,81110,32,0,12,ALER,81140,124359,0,0,77,0,7,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,124359,11
approximated_f345c79b-a278-41a6-b109-44ba64739788_PaulFisher.rdf_functional.owl,51143180,33168,51176348,222,153,39,31,0,83,AL,69,51,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,51,0
74315bf7-bb8f-4a98-95d2-f260450b6ee9_lCharacter.owl_functional.owl,17421450,39847,17461297,359,301,25,33,0,108,ALEH,58,22,0,0,0,0,24,0,0,0,24,24,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,207,70,24
approximated_dd922e1f-73f2-43fb-9a84-6664f9c4d6d3_temetazoan.owl_functional.owl,863761230,4194393,867955623,126365,93576,32584,208,0,39,ALER,32789,93305,0,0,11,0,155,0,0,0,0,0,77,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,39,93305,232
approximated_cfe00e32-c9b8-404c-9f5a-07b042d046c9_codtools_02.owl_functional.owl,20117249,39676,20156925,325,205,62,59,0,25,ALCRO,120,152,0,0,57,0,12,0,0,0,0,0,4,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,37,152,16
approximated_4a243936-cf39-4269-b053-24e2e8820fb0_Gyrodyne.rdf_functional.owl,15080433,44538,15124971,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_dfc18503-60bd-4cf0-8e46-46da849392d3_Grounding.owl_functional.owl,13124496,38720,13163216,368,193,60,116,0,8,ALR,175,154,0,0,100,0,30,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,154,31
approximated_a3f0aaeb-b9cc-4337-882c-cb968126a9f2_higgins.owl_functional.owl,17019356,29166,17048522,244,146,45,54,0,0,ALH,98,99,0,0,58,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,47
approximated_1c3bac4f-4f4e-4518-bc86-0377d3dc6c32_Wahoo.rdf_functional.owl,11587061,30442,11617503,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
92a9f2e8-3e78-4470-ba97-727b01ed6b3a_Station.owl_functional.owl,19216073,43104,19259177,609,355,116,138,0,12,ALH,254,0,0,0,0,0,115,0,0,0,115,115,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,230,115
approximated_3d18c527-3dc1-4a8e-a715-b5e912ff6c48_calisation.owl_functional.owl,12988170,31491,13019661,201,103,43,56,0,18,AL,98,81,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,81,0
approximated_a8009033-f351-4981-aef6-bbf8c91567ab_odData.owl_functional.owl,11319176,33422,11352598,343,182,111,51,0,2,ALER,161,156,0,0,36,0,13,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,156,22
approximated_4a6e0711-cac1-4153-82f9-1a729636c163_CPR.owl_functional.owl,17281799,45566,17327365,1556,908,520,130,0,0,ALER,648,742,0,0,41,0,134,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,166
wb-phenotype.c-elegans-phenotype-vocabulary.195.owl.xml_functional.owl,39532631,82901,39615532,4647,2487,2159,1,0,0,AL+,2160,2486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,1
approximated_45c105f1-be30-4d21-acaa-545093e8a3c2_COSMOr603.owl_functional.owl,165818295,410538,166228833,13992,9841,3799,354,0,2353,ALCRO,4151,6861,0,0,341,0,115,0,0,0,0,0,12,0,0,0,0,0,2244,609,0,0,0,0,0,0,0,0,2853,6861,127
approximated_59c23576-3905-4768-807c-e42953a49469_PA8000.ttl_functional.owl,12933300,33388,12966688,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_2bef0cf8-78c8-4930-8f10-3cd63f3ced94_unitcomplex_functional.owl,12284248,29244,12313492,537,334,145,59,0,0,ALER,203,267,0,0,51,0,55,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,67
approximated_c111b583-ea49-41d1-8301-7bf4cd420885_ebbp2.0.3.owl_functional.owl,13869185,36745,13905930,480,229,241,10,0,0,ALH,251,220,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,9
59c2a3d4-020a-4a2a-8b2f-a9a9c096e102_HP.obo_functional.owl,116710929,280493,116991422,22751,13000,9751,0,0,0,AL,9751,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0
c6fe1d07-3a65-44b7-bb6e-5be86e59feaa_pr_import.owl_functional.owl,14697249,38305,14735554,651,325,326,0,0,0,AL,326,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0
approximated_312ead57-98a6-4831-9cfc-efc961e02d26_74181.rdf_functional.owl,11769344,35045,11804389,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_kb-owl-syntax-unraveled-depth-2-triggers.ofn_functional.owl,171500522,683400,172183922,23833,17554,6107,172,0,0,ALE,6279,17554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17554,0
96fca1bc-6cbd-4edf-9155-62885ac3321c_icsCreator.owl_functional.owl,18817797,44315,18862112,574,332,111,131,0,4,ALH,242,0,0,0,0,0,110,0,0,0,110,110,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,220,110
approximated_7508fb18-a372-461b-861f-3e1d236f466c_qudt_functional.owl,12206276,27587,12233863,492,262,189,42,0,36,ALR,230,191,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,47,191,24
approximated_00708.owl_functional.owl,104431828,211743,104643571,8137,7900,219,19,0,1911,ALER,237,219,0,0,73,0,1,0,0,0,0,0,3,0,0,0,0,0,4121,3556,0,0,0,0,0,0,0,0,7677,219,4
approximated_839b2cf5-ecb9-4418-85c6-4427ff7aebd2_matrIon.owl_functional.owl,70660583,234233,70894816,9458,5992,2995,473,0,1152,ALCRO,3466,3899,0,0,134,0,405,0,0,0,0,0,8,0,0,0,0,0,1208,186,0,0,0,208,78,0,0,0,1680,3899,413
approximated_1cdf362c-2ae8-4727-b5e9-576130834e04_OBI.obo_functional.owl,338670130,1338614,340008744,30442,26859,3520,64,0,0,ALER,3583,26816,0,0,22263,0,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26816,43
approximated_c2be6154-32e2-4603-829f-7d5b1d11b934_d0.owl_functional.owl,17799754,36616,17836370,536,347,80,110,0,0,ALER,189,230,0,0,103,0,110,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,117
approximated_00535.owl_functional.owl,112654047,414781,113068828,17492,11610,5877,5,0,0,ALE,5882,11610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610,0
approximated_8d26f9a2-ef79-4a31-becf-0e57b2393271_undbericht.owl_functional.owl,17746458,38686,17785144,552,327,151,75,0,48,ALER,225,171,0,0,11,0,73,0,0,0,0,0,5,0,0,0,0,0,48,30,0,0,0,0,0,0,0,0,78,171,78
approximated_3f2b94bf-d53a-4daf-946d-6c59da721e7c_Cola.rdf_functional.owl,17425103,54339,17479442,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_702b8efb-32b2-4a87-8350-415581a69a16_Resistor.rdf_functional.owl,11117241,50360,11167601,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_22b3b685-bd5e-47cd-a249-4830d6cf08c6_Fish_hook.rdf_functional.owl,10567150,62690,10629840,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_c9cbf95b-a86d-41c2-85f9-8d759de6c1d9_sion.zfish.obo_functional.owl,105131023,404307,105535330,14132,11204,2918,11,0,0,ALER,2928,11199,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11199,5
06c9f57b-624c-4e3a-9610-48d68898db4c_HAO.obo_functional.owl,74058192,140369,74198561,5494,3659,1832,3,0,0,SR,1835,3654,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3655,4
approximated_6d30d82d-ccfe-4993-b40a-958aa17be6f9_MSKB_ver1.owl_functional.owl,18355376,35804,18391180,598,300,196,103,0,2,ALH,298,200,0,0,5,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,200,97
approximated_1f1074d7-d9d4-4a6b-8977-0a77b95392f8_interfaces.owl_functional.owl,10982964,30933,11013897,260,158,56,47,0,10,ALCRO,102,132,0,0,45,0,12,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,132,16
approximated_tao.teleost-anatomy-ontology.135.owl.xml_functional.owl,60252688,234086,60486774,8412,5166,3227,19,0,0,ALER,3246,5156,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156,10
approximated_77e55a95-d069-4da2-b261-57e89fcb896a_rTransport.owl_functional.owl,62009862,206749,62216611,8214,4721,3315,180,0,159,ALCRO,3493,4236,0,0,126,0,131,0,0,0,0,0,7,0,0,0,0,0,164,179,0,0,0,4,0,0,0,0,347,4236,138
f24457ab-cea2-4017-b9f0-e77f9f1f4f39_notype_xp.owl2_functional.owl,175782515,189531,175972046,8901,3790,5100,11,0,0,ALER,5111,75,3712,0,0,75,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3787,3
approximated_052b7c55-4d02-4d5d-99f4-48676cb191e0_FYPO_functional.owl,53648325,141666,53789991,5823,4132,1672,19,0,0,ALER,1691,4123,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4123,9
approximated_5249685c-71db-4f8b-8746-00fe11948fa4_Mandoca.rdf_functional.owl,13591856,33214,13625070,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_4e9382c4-e9aa-4494-96b1-14892f8a5695_Flail.ttl_functional.owl,9815738,28796,9844534,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_6b6bbd7f-64af-446f-b47d-a11f97c191c3_Tilapia.ttl_functional.owl,13353532,29743,13383275,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_4c0f61da-db43-40be-aea5-096d0e25cf87_eral_water.rdf_functional.owl,13980750,27393,14008143,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_ddd751bd-f933-42b7-865d-e9aa08c3408b_ncertainty.owl_functional.owl,17874438,42848,17917286,1613,980,567,67,0,103,ALCRO,633,702,0,0,32,0,32,0,0,0,0,0,7,0,0,0,0,0,103,134,0,0,0,2,0,0,0,0,239,702,39
approximated_00627.owl_functional.owl,36762613,76004,36838617,4965,2804,2138,24,0,3,ALER,2161,2785,0,0,5,0,9,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2785,16
approximated_00f0d5f6-395b-4d82-97bd-75062b17681a_odore_CDTV.ttl_functional.owl,11122622,27515,11150137,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_52d591c9-b4fc-4f87-99c4-8b81323a910f_Sun_valve.ttl_functional.owl,14125209,33125,14158334,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_00039.owl_functional.owl,62186736,211719,62398455,9597,6098,3086,413,0,0,ALER,3499,5656,0,0,0,0,416,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5656,442
approximated_48bdccca-5b0c-48b6-b156-5f88a9662b1c_envirImpact.owl_functional.owl,39261981,96602,39358583,5761,3381,2208,174,0,152,ALCRO,2380,2905,0,0,112,0,129,0,0,0,0,0,7,0,0,0,0,0,157,181,0,0,0,2,0,0,0,0,340,2905,136
approximated_6fce96ad-8afd-44a8-8828-258cac75fc7b_risdiction.owl_functional.owl,13573140,40794,13613934,1137,714,377,47,0,103,ALCRO,423,447,0,0,23,0,21,0,0,0,0,0,7,0,0,0,0,0,103,134,0,0,0,2,0,0,0,0,239,447,28
approximated_09b555c1-a7a1-4cc9-b9de-b53288f8fd91_onto.rdf_functional.owl,13513302,23689,13536991,267,167,44,57,0,55,ALH,100,102,0,0,55,0,10,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,55,102,10
approximated_531c2d22-624b-47ae-8947-357b8894cb23_MF.owl_functional.owl,16410982,42736,16453718,1700,922,695,84,0,18,ALCRO,778,816,0,0,52,0,61,0,0,0,0,0,25,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,20,816,86
approximated_821570a0-d208-4173-a2f9-a885caabf71c_plusassocs.obo_functional.owl,8931885961,20296824,8952182785,765084,616106,148882,97,0,0,ALER,148978,616021,0,0,5,0,64,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616021,85
0b269d8d-1c50-45ce-ae4b-60a46714d203_classified.obo_functional.owl,455547222,684690,456231912,22875,17247,5620,8,0,0,ALE+,5628,17243,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17243,4
approximated_617ed6c6-5075-429e-aa0d-8f510bb901d7_Pentium_III.ttl_functional.owl,16901653,29190,16930843,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_904615b5-96da-4a92-9a63-41b2f042c337_stermerged.owl_functional.owl,939227815,4596314,943824129,108473,103463,4897,116,0,58273,ALCRO,5010,2534,0,0,32,0,75,0,0,0,0,0,55,0,0,0,0,0,32918,37222,0,0,0,30657,2,0,0,0,100799,2534,130
approximated_462bdf6b-f7ad-4c73-8244-024769021458_vertebrate.obo_functional.owl,664122092,3111822,667233914,90883,72585,18069,229,0,0,ALER,18298,72435,0,0,0,0,114,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72435,150
approximated_0a139bbb-6261-4262-b62c-c0d3733f5508_Drill_bit.ttl_functional.owl,14070403,57358,14127761,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_ca495d9f-6fd0-455d-be1b-17538744f700_dinterests.owl_functional.owl,14644533,37163,14681696,461,261,63,138,0,51,ALCRO,200,161,0,0,119,0,39,0,0,0,0,0,2,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,59,161,41
approximated_122239cd-6801-417a-81e4-5bb1fe1f464c_ZX80.ttl_functional.owl,17994188,29055,18023243,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
approximated_kb-owl-syntax-coreference-IDs-km-relevant-cardinalities-disjointness-relation-axioms.ofn_functional.owl,440200953,1588785,441789738,66057,38562,27218,279,0,0,ALER,27495,38540,0,0,8157,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38540,22
approximated_2968831e-1053-42e1-9bcc-b6da3f94d6f9_uowithpato.owl_functional.owl,39935617,108474,40044091,5045,3017,2012,18,0,212,ALER,2028,2798,0,0,70,0,4,0,0,0,0,0,3,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,212,2798,7
approximated_c2d3e8f6-066c-4850-9cd3-befc930596a1_opentox.owl_functional.owl,13586307,71090,13657397,224,125,24,76,0,0,ALR,99,95,0,0,73,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,30
approximated_1d340b73-57f7-4f92-9367-7f131dd2e647_htning_rod.rdf_functional.owl,10619598,22621,10642219,266,170,38,59,0,50,ALR,96,69,0,0,38,0,30,0,0,0,0,0,7,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,64,69,37
