Ontology,Axiom,LogicalAxiomCount,ClassCount,ObjectPropertyCount,DataPropertyCount,IndividualCount,DLExpressivity,DeclarationAxiomsCount,SubClassOf,EquivalentClasses,DisjointClasses,GCICount,HiddenGCICount,SubObjectPropertyOf,EquivalentObjectProperties,TransitiveObjectProperty,ReflexiveObjectProperty,ObjectPropertyDomain,ObjectPropertyRange,SubPropertyChainOf,SubDataPropertyOf,EquivalentDataProperties,FunctionalDataProperty,DataPropertyDomain,DataPropertyRange,ClassAssertion,ObjectPropertyAssertion,DataPropertyAssertion,NegativeObjectPropertyAssertion,NegativeDataPropertyAssertion,SameIndividual,DifferentIndividuals,AnnotationAssertion,AnnotationPropertyDomain,AnnotationPropertyRangeOf,ABoxAxiomCount,TBoxAxiomCount,RBoxAxiomCount
00143.owl_functional.owl_1_23_978.owl,1965,1160,82,68,0,655,ALH,805,53,0,0,0,0,15,0,0,0,56,58,0,0,0,0,0,0,859,119,0,0,0,0,0,0,0,0,978,167,15
00147.owl_functional.owl,123,113,9,1,0,108,AL,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,110,3,0
00147.owl_functional.owl_1_9_101.owl,214,104,9,1,0,100,AL,110,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,101,3,0
00147.owl_functional.owl_1_9_20.owl,53,23,9,1,0,20,AL,30,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,3,0
00147.owl_functional.owl_1_9_29.owl,71,32,9,1,0,29,AL,39,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,3,0
00147.owl_functional.owl_1_9_38.owl,89,41,9,1,0,38,AL,48,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,3,0
00147.owl_functional.owl_1_9_47.owl,107,50,9,1,0,47,AL,57,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,47,3,0
00147.owl_functional.owl_1_9_56.owl,125,59,9,1,0,56,AL,66,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,56,3,0
00147.owl_functional.owl_1_9_65.owl,143,68,9,1,0,65,AL,75,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65,3,0
00147.owl_functional.owl_1_9_74.owl,161,77,9,1,0,74,AL,84,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,74,3,0
00147.owl_functional.owl_1_9_83.owl,179,86,9,1,0,83,AL,93,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,83,3,0
00147.owl_functional.owl_1_9_92.owl,197,95,9,1,0,92,AL,102,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,92,3,0
00304.owl_functional.owl,298,256,41,1,0,214,AL,42,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,219,37,0
00304.owl_functional.owl_1_3_186.owl,447,223,41,1,0,182,AL,224,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,186,37,0
00304.owl_functional.owl_1_3_189.owl,453,226,41,1,0,185,AL,227,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,189,37,0
00304.owl_functional.owl_1_3_192.owl,458,229,41,1,0,187,AL,229,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,192,37,0
00304.owl_functional.owl_1_3_195.owl,464,232,41,1,0,190,AL,232,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,195,37,0
00304.owl_functional.owl_1_3_198.owl,470,235,41,1,0,193,AL,235,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,198,37,0
00304.owl_functional.owl_1_3_201.owl,476,238,41,1,0,196,AL,238,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,201,37,0
00304.owl_functional.owl_1_3_204.owl,482,241,41,1,0,199,AL,241,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,204,37,0
00304.owl_functional.owl_1_3_207.owl,488,244,41,1,0,202,AL,244,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,207,37,0
00304.owl_functional.owl_1_3_210.owl,494,247,41,1,0,205,AL,247,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,210,37,0
00304.owl_functional.owl_1_3_213.owl,500,250,41,1,0,208,AL,250,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,213,37,0
00304.owl_functional.owl_1_3_216.owl,506,253,41,1,0,211,AL,253,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,216,37,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl,210,175,28,0,7,56,AL(D),35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,98,0,0,0,0,0,0,0,153,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_113.owl,218,135,28,0,7,48,AL(D),83,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,77,0,0,0,0,0,0,0,113,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_117.owl,225,139,28,0,7,51,AL(D),86,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,77,0,0,0,0,0,0,0,117,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_121.owl,229,143,28,0,7,51,AL(D),86,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,79,0,0,0,0,0,0,0,121,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_125.owl,234,147,28,0,7,52,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,80,0,0,0,0,0,0,0,125,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_129.owl,238,151,28,0,7,52,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,82,0,0,0,0,0,0,0,129,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_133.owl,242,155,28,0,7,52,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,85,0,0,0,0,0,0,0,133,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_137.owl,246,159,28,0,7,52,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,88,0,0,0,0,0,0,0,137,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_141.owl,252,163,28,0,7,54,AL(D),89,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,90,0,0,0,0,0,0,0,141,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_145.owl,257,167,28,0,7,55,AL(D),90,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,93,0,0,0,0,0,0,0,145,22,0
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_149.owl,262,171,28,0,7,56,AL(D),91,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,96,0,0,0,0,0,0,0,149,22,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl,242,237,5,0,0,236,AL,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,236,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_121.owl,248,122,5,0,0,121,AL,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,121,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_144.owl,294,145,5,0,0,144,AL,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,144,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_167.owl,340,168,5,0,0,167,AL,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,167,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_190.owl,386,191,5,0,0,190,AL,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,190,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_213.owl,432,214,5,0,0,213,AL,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,213,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_29.owl,64,30,5,0,0,29,AL,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_52.owl,110,53,5,0,0,52,AL,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,52,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_6.owl,18,7,5,0,0,6,AL,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_75.owl,156,76,5,0,0,75,AL,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75,1,0
05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_98.owl,202,99,5,0,0,98,AL,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,98,1,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl,178,144,28,0,6,56,AL(D),34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,67,0,0,0,0,0,0,0,122,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_111.owl,218,133,28,0,6,51,AL(D),85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,62,0,0,0,0,0,0,0,111,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_112.owl,219,134,28,0,6,51,AL(D),85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,63,0,0,0,0,0,0,0,112,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_113.owl,221,135,28,0,6,52,AL(D),86,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,63,0,0,0,0,0,0,0,113,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_114.owl,222,136,28,0,6,52,AL(D),86,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,64,0,0,0,0,0,0,0,114,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_115.owl,224,137,28,0,6,53,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,64,0,0,0,0,0,0,0,115,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_116.owl,226,138,28,0,6,54,AL(D),88,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,64,0,0,0,0,0,0,0,116,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_117.owl,227,139,28,0,6,54,AL(D),88,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,65,0,0,0,0,0,0,0,117,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_118.owl,228,140,28,0,6,54,AL(D),88,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,66,0,0,0,0,0,0,0,118,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_119.owl,230,141,28,0,6,55,AL(D),89,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,66,0,0,0,0,0,0,0,119,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_120.owl,232,142,28,0,6,56,AL(D),90,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,66,0,0,0,0,0,0,0,120,22,0
06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_121.owl,233,143,28,0,6,56,AL(D),90,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,66,0,0,0,0,0,0,0,121,22,0
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl,224,206,8,10,0,85,ALEH,18,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,179,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_102.owl,215,129,8,10,0,68,ALEH,86,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,102,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_109.owl,224,136,8,10,0,70,ALEH,88,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,109,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_116.owl,231,143,8,10,0,70,ALEH,88,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,116,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_123.owl,241,150,8,10,0,73,ALEH,91,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,123,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_130.owl,249,157,8,10,0,74,ALEH,92,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,130,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_137.owl,256,164,8,10,0,74,ALEH,92,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,137,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_144.owl,264,171,8,10,0,75,ALEH,93,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,144,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_151.owl,272,178,8,10,0,76,ALEH,94,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,151,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_158.owl,283,185,8,10,0,80,ALEH,98,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,158,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_165.owl,292,192,8,10,0,82,ALEH,100,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,165,20,7
0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_172.owl,300,199,8,10,0,83,ALEH,101,6,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,172,20,7
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl,44448,44292,18,12,127,3536,ALF(D),156,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,7072,4678,32098,0,0,0,0,0,0,0,43848,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_10552.owl,14472,10996,18,12,127,3320,ALF(D),3476,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,1668,1153,7731,0,0,0,0,0,0,0,10552,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_14714.owl,18782,15158,18,12,127,3468,ALF(D),3624,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,2315,1593,10806,0,0,0,0,0,0,0,14714,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_18876.owl,22993,19320,18,12,127,3517,ALF(D),3673,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,2989,2026,13861,0,0,0,0,0,0,0,18876,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_2228.owl,4523,2672,18,12,127,1695,ALF(D),1851,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,380,239,1609,0,0,0,0,0,0,0,2228,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_23038.owl,27168,23482,18,12,127,3530,ALF(D),3686,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,3678,2450,16910,0,0,0,0,0,0,0,23038,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_27200.owl,31333,27644,18,12,127,3533,ALF(D),3689,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,4371,2900,19929,0,0,0,0,0,0,0,27200,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_31362.owl,35498,31806,18,12,127,3536,ALF(D),3692,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,5072,3344,22946,0,0,0,0,0,0,0,31362,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_35524.owl,39660,35968,18,12,127,3536,ALF(D),3692,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,5728,3798,25998,0,0,0,0,0,0,0,35524,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_39686.owl,43822,40130,18,12,127,3536,ALF(D),3692,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,6402,4226,29058,0,0,0,0,0,0,0,39686,444,0
0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_6390.owl,9937,6834,18,12,127,2947,ALF(D),3103,23,0,0,0,0,0,0,0,0,1,0,0,0,0,127,166,127,1034,712,4644,0,0,0,0,0,0,0,6390,444,0
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl,1381,1292,41,34,14,675,ALH(D),89,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,69,638,413,0,0,0,0,0,0,0,1120,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_1026.owl,1906,1198,41,34,14,619,ALH(D),708,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,62,577,387,0,0,0,0,0,0,0,1026,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_1073.owl,1983,1245,41,34,14,649,ALH(D),738,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,67,609,397,0,0,0,0,0,0,0,1073,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_650.owl,1324,822,41,34,14,413,ALH(D),502,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,43,357,250,0,0,0,0,0,0,0,650,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_697.owl,1393,869,41,34,14,435,ALH(D),524,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,47,379,271,0,0,0,0,0,0,0,697,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_744.owl,1462,916,41,34,14,457,ALH(D),546,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,50,402,292,0,0,0,0,0,0,0,744,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_791.owl,1537,963,41,34,14,485,ALH(D),574,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,51,430,310,0,0,0,0,0,0,0,791,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_838.owl,1611,1010,41,34,14,512,ALH(D),601,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,52,458,328,0,0,0,0,0,0,0,838,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_885.owl,1685,1057,41,34,14,539,ALH(D),628,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,53,490,342,0,0,0,0,0,0,0,885,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_932.owl,1758,1104,41,34,14,565,ALH(D),654,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,56,519,357,0,0,0,0,0,0,0,932,129,43
12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_979.owl,1836,1151,41,34,14,596,ALH(D),685,39,0,0,0,0,32,0,0,0,33,33,0,11,0,0,12,12,56,552,371,0,0,0,0,0,0,0,979,129,43
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl,208,174,28,0,6,56,AL(D),34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,97,0,0,0,0,0,0,0,152,22,0
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_112.owl,219,134,28,0,6,51,AL(D),85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,72,0,0,0,0,0,0,0,112,22,0
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_116.owl,224,138,28,0,6,52,AL(D),86,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,74,0,0,0,0,0,0,0,116,22,0
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_120.owl,229,142,28,0,6,53,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,77,0,0,0,0,0,0,0,120,22,0
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_124.owl,233,146,28,0,6,53,AL(D),87,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,80,0,0,0,0,0,0,0,124,22,0
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_128.owl,238,150,28,0,6,54,AL(D),88,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,83,0,0,0,0,0,0,0,128,22,0
13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_132.owl,242,154,28,0,6,54,AL(D),88,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,86,0,0,0,0,0,0,0,132,22,0
